video_id,channel_id,title,thumbnail_url_default,thumbnail_url_medium,tags,default_language,duration,upload_time,views,subscriber_count,channel_views,video_count,created_channel_at
UVs37Q70VrE,UCeVBnXsh1quagEogYlGCwyA,Cozy Winter Coffee Shop ⛄ Relaxing Jazz & Warm Fireplace Sounds for Study and Work,https://i.ytimg.com/vi/UVs37Q70VrE/default.jpg,https://i.ytimg.com/vi/UVs37Q70VrE/mqdefault.jpg,"cozy jazz cafe, coffee shop rain ambience, rainy jazz, autumn jazz music, relaxing rainy day jazz, soft piano jazz, study cafe ambience, relaxing coffee jazz, warm cozy jazz, smooth rainy jazz, cozy coffee shop jazz, rainy day jazz music, study jazz background, peaceful jazz piano, rainy day coffee music, relaxing piano jazz, rain sounds with jazz, jazz for studying and rain, background jazz music, winter fireplace ambience, winter ambience music, cozy winter ambience",en-US,PT3H47M35S,2025-11-25T11:00:31Z,192286,6970,2644718,100,2025-10-07T21:01:02.393013Z
8Ddgy5tCKtg,UCbsHYIZwk9pZIMp53ciDjOw,"Playlist | 다가오는 연말, 겨울 분위기를 더할 재즈 플리 ❤️ | 듣기만 해도 설레는 크리스마스 재즈 모음 | 매장 카페 ☕️  | Relaxing Jazz Music",https://i.ytimg.com/vi/8Ddgy5tCKtg/default.jpg,https://i.ytimg.com/vi/8Ddgy5tCKtg/mqdefault.jpg,"기분째즈네, 기분재즈네, 재즈네, moodisjazz, 재즈피아노, 재즈란무엇인가, 재즈음악, 재즈가뭐라고생각하십니까, 재즈플레이리스트, JAZZNE, 음악, 재즈, jazz, #jazz",ko,PT2H43M18S,2025-11-08T23:50:01Z,1579392,354000,106484752,224,2022-06-26T13:46:31.170279Z
tDFIKQEnSpQ,UCtfQGNqooC1wPtrDslZFNCQ,Cozy Christmas Café Atmosphere ☕ Soft Jazz Piano & Fireplace Sounds for Study and Focus,https://i.ytimg.com/vi/tDFIKQEnSpQ/default.jpg,https://i.ytimg.com/vi/tDFIKQEnSpQ/mqdefault.jpg,"relaxing cafe jazz, cozy autumn ambience, autumn jazz music, peaceful jazz café, rainy autumn jazz, cozy jazz atmosphere, warm jazz ambience, peaceful autumn jazz for rainy days, cozy autumn ambience with gentle rain, autumn evening jazz, cozy jazz ambience, fireplace jazz ambience, soft piano jazz with rain, autumn rain jazz music, peaceful study jazz, smooth background jazz, soft winter jazz fireplace, winter coffee shop jazz, smooth winter jazz, relaxing fireplace jazz",en,PT11H52M54S,2025-12-23T02:28:57Z,41051,6660,2957798,76,2025-10-20T10:21:02.01082Z
FKGVOJQDK9g,UCSo7Wq4VyfW5v1RpMLvWN-g,Relaxing Christmas Music and Cozy Crackling Fireplace Ambience 24/7 for a Relaxed Christmas,https://i.ytimg.com/vi/FKGVOJQDK9g/default_live.jpg,https://i.ytimg.com/vi/FKGVOJQDK9g/mqdefault_live.jpg,"christmas, christmas ambience, christmas fireplace, fireplace christmas, christmas scene, christmas background, christmas music, christmas ambiance, christmas songs, christmas song, relaxing christmas music, ambience, instrumental christmas music, background music, crackling fireplace, fireplace, fireplace sounds, cozy moments, cozy christmas, snow ambience, christmas carols, instrumental christmas musics, cozy winter ambience, music and fireplace, piano music, cozy",en,P0D,2025-10-15T17:15:18Z,1173334,70400,18174702,73,2019-06-07T15:59:26Z
MkeGihSD63o,UCMQPPQWygUStw8HzrxX8_hA,"Relaxing Christmas Carol Music 🎁 Quiet and Comfortable Instrumental Music, Christmas Ambience 2026",https://i.ytimg.com/vi/MkeGihSD63o/default.jpg,https://i.ytimg.com/vi/MkeGihSD63o/mqdefault.jpg,"Peaceful Christmas Moments, christmas music, relaxing christmas music, peaceful christmas music, instrumental christmas music, christmas songs, xmas song, xmas music, xmas, christmas, christmas ambience, christmas ambient, christmas background music, xmas background music, relaxing music, christmas music 2026, christmas song 2026, heavenly christmas music, christmas background, christmas tree, christmas song, merry christmas, christmas carols, christmas piano, soft piano",en,PT3H31M29S,2025-12-06T15:19:00Z,1068754,8060,2252185,46,2025-11-04T08:24:03.293182Z
rdM2w57X_-w,UCzMGBnrq1LwN_MGl1DU9TWQ,Relaxing Winter Morning Jazz at Outdoor Coffee Shop Ambience ❄ Soft Piano Jazz Music for Studying,https://i.ytimg.com/vi/rdM2w57X_-w/default_live.jpg,https://i.ytimg.com/vi/rdM2w57X_-w/mqdefault_live.jpg,"jazz, jazz music, piano music, relaxing jazz, winter jazz, jazz piano, soft jazz, morning jazz, relaxing morning, winter morning, winter morning jazz, relaxing morning jazz, coffee shop music, coffee shop ambience, coffee shop jazz, outdoor coffee shop, outdoor coffee shop ambience, winter coffee shop, winter coffee shop ambience, relaxing jazz music, winter jazz music, soft jazz music, morning jazz cafe, winter ambience, relaxing winter morning jazz, ジャズ, sweet jazz cafe",en,P0D,2025-12-16T12:06:13Z,72167,13500,3149901,166,2024-02-27T07:10:49.646857Z
yf5NOyy1SXU,UCIB228QNsdJDSX8bocYCZOA,Soft Lofi Room 🎧 Chill Vibes for Peaceful Study & Relaxation,https://i.ytimg.com/vi/yf5NOyy1SXU/default_live.jpg,https://i.ytimg.com/vi/yf5NOyy1SXU/mqdefault_live.jpg,"lofi, chill, Music, beat, cafe, Work, Study, Coffee, Relax, sleep, jazz, cozy jazz, 爵士, jazz room, cafe bgm, bgm, jazz bgm, cozy playlist, playlist, sleep jazz, cozy list, cozyjazz, jazzplaylist, jazz playlist, 재즈, sleepjazz, BGM playlist, cafe playlist, lofi girl, lofi boy, lofi chill, chill girl, cozy lofi, cozymusic, relax chill, chillrelax",en,P0D,2025-04-12T02:59:47Z,2765860,53700,19066442,118,2024-09-11T07:50:19.609257Z
nftGJDj8ho0,UCmCB1HBrYFuBPyvkcweFhlg,Soulful R&B Vibes 💖 Smooth Love Songs & Emotional Chill Mix for the Heart,https://i.ytimg.com/vi/nftGJDj8ho0/default.jpg,https://i.ytimg.com/vi/nftGJDj8ho0/mqdefault.jpg,"smooth r&b, soulful r&b, r&b chill mix, smooth soul music, r&b soul playlist, relaxing r&b, emotional r&b, chill r&b, smooth groove, soft r&b, romantic r&b, r&b love songs, study r&b, late night r&b, slow jams 2025, soulful chill music, chill soul vibes, smooth r&b 2025, r&b background music, r&b slow groove, modern soul, r&b soul mix, mellow r&b, sensual r&b, peaceful r&b, romantic soul mix, smooth r&b playlist USA, soulful r&b slow jam, chill and relax music",en-US,PT2H27M28S,2025-10-16T00:01:00Z,1225056,21800,4807849,86,2025-10-07T02:13:57.893642Z
JwvUvKeSYS8,UCBnMxlW70f0SB4ZTJx124lw,[Playlist] 아침부터 재즈 한그릇 말아먹어볼까나🤍 듣자마자 기분 좋아지는 모닝재즈플리 ⎮ Morning Jazz Piano Instrumental Music,https://i.ytimg.com/vi/JwvUvKeSYS8/default.jpg,https://i.ytimg.com/vi/JwvUvKeSYS8/mqdefault.jpg,"재즈피아노, 재즈플레이레스트, jazz, jazzmusic, jazzpiano, jazzguitar, jazzpianomusic, cafejazz, cafemusic, cafejazzmusic, cafebgm, 카페음악, 카페에서듣기좋은노래, 카페재즈, 카페재즈음악, 카페재즈광고없음, 카페재즈피아노, 카페재즈음악모음, 카페재즈실시간, 카페재즈음악광고없는, 카페재즈플레이리스트, pianojazz, 피아노연주곡, 피아노연주, 몽키비지엠, monkeybgm, cafemusicbgmchannel, cafemusicjazz, 재즈피아노연주, 재즈피아노연주곡, relaxingpianomusic, relaxingmusic, relaxingjazz, 매장에서듣기좋은음악, 매장음악광고없음, backgroundmusic, jazzplaylist, playlist, playlist광고없는, 재즈, 재즈음악
Work jazz, work&studyjazz, 일할때재즈, 일할때틀어놓기좋은재즈, 아침재즈, 모닝재즈, morningjazz, morningplaylist, 모닝플리, 아침플리",ko,PT10H36M15S,2025-02-10T23:00:16Z,950297,323000,138348582,429,2020-02-22T04:21:05.330726Z
9yOPk65AEA0,UCaAz9SSxPeqpoXbvH3NnF1A,"Ariana Grande, Mariah Carey, Justin Bieber, Christmas Songs Christmas Songs Playlist 2026",https://i.ytimg.com/vi/9yOPk65AEA0/default.jpg,https://i.ytimg.com/vi/9yOPk65AEA0/mqdefault.jpg,"christmas songs, christmas music, top christmas songs, top christmas music, christmas songs 2025, merry christmas, christmas songs playlist, best christmas songs, top christmas songs 2025, christmas songs forever, top 100 christmas songs, best christmas songs of all time, all i want for christmas, jingle bells, silient night, love to sing, noel music, noel 2025, merry christmas 2025, top christmas songs of all time, christmas songs and carols, mariah carey, ariana grande",en,PT3H11M11S,2025-11-16T10:00:06Z,85502,17900,5373551,96,2025-05-19T04:19:35.099824Z
